"Ano";"Mês";"Países";"Código CUCI Grupo";"Descrição CUCI Grupo";"Valor US$ FOB"
"
2024";"12. Dezembro";"
Estados Unidos";"
001";"
Animais vivos, não incluído pescados ou crustáceos";"208784"
"
2024";"12. Dezembro";"
Estados Unidos";"
017";"
Despojos comestíveis de carnes, preparados ou preservados";"90534"
"
2024";"12. Dezembro";"
Estados Unidos";"
022";"
Leite, creme de leite e laticínios, exceto manteiga ou queijo";"1736561"
"
2024";"12. Dezembro";"
Estados Unidos";"
025";"
Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados";"2738332"
"
2024";"12. Dezembro";"
Estados Unidos";"
034a";"
Pescado inteiro vivo, morto ou refrigerado";"5716"
"
2024";"12. Dezembro";"
Estados Unidos";"
034c";"
Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"242307"
"
2024";"12. Dezembro";"
Estados Unidos";"
036c";"
Crustáceos, moluscos e invertebrados aquáticos congelados, refrigerados ou frescos, secos, salgados, em salmoura ou preparados comestíveis";"412417"
"
2024";"12. Dezembro";"
Estados Unidos";"
044";"
Milho não moído, exceto milho doce";"583325"
"
2024";"12. Dezembro";"
Estados Unidos";"
045";"
Centeio, aveia e outros cereais, não moídos";"39282"
"
2024";"12. Dezembro";"
Estados Unidos";"
047";"
Ração ou farinha de outros cereais";"124772"
"
2024";"12. Dezembro";"
Estados Unidos";"
048";"
Preparações e cereais, de farinhas, ou amido de frutas ou vegetais";"55290"
"
2024";"12. Dezembro";"
Estados Unidos";"
054a";"
Produtos hortícolas, frescos ou refrigerados";"922340"
"
2024";"12. Dezembro";"
Estados Unidos";"
056";"
Legumes, raízes e tubérculos, preparados ou conservados";"811841"
"
2024";"12. Dezembro";"
Estados Unidos";"
057";"
Frutas e nozes não oleaginosas, frescas ou secas";"2761349"
"
2024";"12. Dezembro";"
Estados Unidos";"
058";"
Frutas, preservados e preparações (exceto sucos de frutas)";"449325"
"
2024";"12. Dezembro";"
Estados Unidos";"
059";"
Sucos de frutas ou de vegetais";"124573"
"
2024";"12. Dezembro";"
Estados Unidos";"
061c";"
Açúcares e melaços";"1738409"
"
2024";"12. Dezembro";"
Estados Unidos";"
062";"
Artigos de confeitaria";"87515"
"
2024";"12. Dezembro";"
Estados Unidos";"
071c";"
Café torrado, extratos, essências e concentrados de café";"159900"
"
2024";"12. Dezembro";"
Estados Unidos";"
072c";"
Cacau em pó, manteiga ou pasta de cacau";"53274"
"
2024";"12. Dezembro";"
Estados Unidos";"
073";"
Chocolate e outras preparações alimentícias contendo cacau";"1080204"
"
2024";"12. Dezembro";"
Estados Unidos";"
074a";"
Mate, extrato, essência e concentrado";"147600"
"
2024";"12. Dezembro";"
Estados Unidos";"
075";"
Especiarias";"28632"
"
2024";"12. Dezembro";"
Estados Unidos";"
081c";"
Farelos de soja e outros alimentos para animais (excluídos cereais não moídos), farinhas de carnes e outros animais";"4075871"
"
2024";"12. Dezembro";"
Estados Unidos";"
081d";"
Resíduos vegetais, feno, forragens e outros farelos";"24189"
"
2024";"12. Dezembro";"
Estados Unidos";"
091";"
Margarina e reduções";"391318"
"
2024";"12. Dezembro";"
Estados Unidos";"
098";"
Outros produtos comestíveis e preparações";"4361756"
"
2024";"12. Dezembro";"
Estados Unidos";"
111";"
Outras bebidas não-alcoólicas";"5860"
"
2024";"12. Dezembro";"
Estados Unidos";"
112";"
Bebidas alcoólicas";"2870955"
"
2024";"12. Dezembro";"
Estados Unidos";"
122";"
Charutos, cigarros e outros produtos de tabaco";"33415"
"
2024";"12. Dezembro";"
Estados Unidos";"
211c";"
Couros e peles em bruto";"656010"
"
2024";"12. Dezembro";"
Estados Unidos";"
222a1";"
Soja";"79"
"
2024";"12. Dezembro";"
Estados Unidos";"
222a2";"
Sementes oleaginosas de girassol, gergelim, canola, algodão e outras";"365987"
"
2024";"12. Dezembro";"
Estados Unidos";"
223a";"
Outras sementes oleaginosas de copra ou linhaça";"165855"
"
2024";"12. Dezembro";"
Estados Unidos";"
231";"
Látex, borracha natural, balata, guta-percha, guaiúle, chicle e gomas naturais";"448"
"
2024";"12. Dezembro";"
Estados Unidos";"
232c";"
Borrachas sintéticas";"23300156"
"
2024";"12. Dezembro";"
Estados Unidos";"
232d";"
Desperdícios e resíduo de borrachas";"137827"
"
2024";"12. Dezembro";"
Estados Unidos";"
246c";"
Madeira em estilhas ou partículas";"50588"
"
2024";"12. Dezembro";"
Estados Unidos";"
248";"
Madeira, parcialmente trabalhada e dormentes de madeira";"134992"
"
2024";"12. Dezembro";"
Estados Unidos";"
251c";"
Celulose";"5375123"
"
2024";"12. Dezembro";"
Estados Unidos";"
251d";"
Desperdícios e resíduos de papel";"311428"
"
2024";"12. Dezembro";"
Estados Unidos";"
263a";"
Algodão em bruto";"54951"
"
2024";"12. Dezembro";"
Estados Unidos";"
263d";"
Desperdícios de algodão";"7230"
"
2024";"12. Dezembro";"
Estados Unidos";"
266";"
Fibras sintéticas adequadas para a fiação";"625492"
"
2024";"12. Dezembro";"
Estados Unidos";"
268c";"
Lã e pelos cardados ou penteados e outras lãs";"14056"
"
2024";"12. Dezembro";"
Estados Unidos";"
272b";"
Fertilizantes brutos (exceto adubos)";"72558"
"
2024";"12. Dezembro";"
Estados Unidos";"
273";"
Pedra, areia e cascalho";"63271"
"
2024";"12. Dezembro";"
Estados Unidos";"
274c";"
Enxofre";"14262416"
"
2024";"12. Dezembro";"
Estados Unidos";"
277c";"
Outros abrasivos naturais";"33926"
"
2024";"12. Dezembro";"
Estados Unidos";"
278b";"
Outros minerais em bruto";"4371396"
"
2024";"12. Dezembro";"
Estados Unidos";"
282";"
Resíduos e sucata de metais ferrosos";"48716"
"
2024";"12. Dezembro";"
Estados Unidos";"
285c";"
Alumina (óxido de alumínio), exceto corindo artificial";"188672"
"
2024";"12. Dezembro";"
Estados Unidos";"
287";"
Outros minérios e concentrados dos metais de base";"801715"
"
2024";"12. Dezembro";"
Estados Unidos";"
288";"
Resíduos de metais de base não ferrosos e de sucata";"769333"
"
2024";"12. Dezembro";"
Estados Unidos";"
291c";"
Matérias brutas de animais";"3506905"
"
2024";"12. Dezembro";"
Estados Unidos";"
292a";"
Matérias vegetais em bruto";"1235386"
"
2024";"12. Dezembro";"
Estados Unidos";"
292c";"
Outras matérias de origem vegetal";"5209082"
"
2024";"12. Dezembro";"
Estados Unidos";"
321";"
Carvão, mesmo em pó, mas não aglomerado";"103670820"
"
2024";"12. Dezembro";"
Estados Unidos";"
322b";"
Linhita e turfa";"76449"
"
2024";"12. Dezembro";"
Estados Unidos";"
325";"
Coques e semi-coques, incluindo resíduos de hulha, de linhita ou de turfa, e carvão de retorta";"263"
"
2024";"12. Dezembro";"
Estados Unidos";"
333";"
Óleos brutos de petróleo ou de minerais betuminosos, crus";"68773855"
"
2024";"12. Dezembro";"
Estados Unidos";"
334c";"
Óleos combustíveis de petróleo ou de minerais betuminosos (exceto óleos brutos)";"399858193"
"
2024";"12. Dezembro";"
Estados Unidos";"
335";"
Produtos residuais de petróleo e materiais relacionados";"47199311"
"
2024";"12. Dezembro";"
Estados Unidos";"
342";"
Propano e butano liquefeito";"24848828"
"
2024";"12. Dezembro";"
Estados Unidos";"
343";"
Gás natural, liquefeito ou não";"53088955"
"
2024";"12. Dezembro";"
Estados Unidos";"
344";"
Gás de petróleo e outros hidrocarbonetos gasosos";"17271"
"
2024";"12. Dezembro";"
Estados Unidos";"
411";"
Óleos e gorduras animais";"91819"
"
2024";"12. Dezembro";"
Estados Unidos";"
421";"
Gorduras e óleos vegetais, ""soft"", bruto, refinado ou fracionado";"116238"
"
2024";"12. Dezembro";"
Estados Unidos";"
422";"
Gorduras e óleos vegetais, em bruto, refinados ou fracionados (excluídos ""soft"")";"164654"
"
2024";"12. Dezembro";"
Estados Unidos";"
431";"
Outras gorduras e óleos animais ou vegetais, processados, ceras, misturas ou preparações não alimentícias";"486344"
"
2024";"12. Dezembro";"
Estados Unidos";"
511";"
Outros hidrocarbonetos e seus derivados halogenados, sulfonados, nitrados ou nitrosados";"27770710"
"
2024";"12. Dezembro";"
Estados Unidos";"
512";"
Álcoois, fenóis, fenóis-álcoois, e seus derivados halogenados, sulfonados, nitrados ou nitrosados";"59421342"
"
2024";"12. Dezembro";"
Estados Unidos";"
513";"
Ácidos carboxílicos e seus anidridos, halogenetos, peróxidos e perácidos e seus derivados";"19640098"
"
2024";"12. Dezembro";"
Estados Unidos";"
514";"
Compostos de função nitrogênio";"9031405"
"
2024";"12. Dezembro";"
Estados Unidos";"
515";"
Compostos organo-inorgânicos, compostos heterocíclicos, ácidos nucléicos e seus sais, e sulfonamidas";"36097238"
"
2024";"12. Dezembro";"
Estados Unidos";"
516";"
Outros produtos químicos orgânicos";"15550480"
"
2024";"12. Dezembro";"
Estados Unidos";"
522";"
Elementos químicos inorgânicos, óxidos e sais de halogêneos";"72903501"
"
2024";"12. Dezembro";"
Estados Unidos";"
523";"
Sais e peroxossais, de ácidos inorgânicos e metais";"15609656"
"
2024";"12. Dezembro";"
Estados Unidos";"
524";"
Outros produtos químicos inorgânicos; compostos orgânicos e inorgânicos de metais preciosos";"1537955"
"
2024";"12. Dezembro";"
Estados Unidos";"
525";"
Materiais radioativos e associados";"429042"
"
2024";"12. Dezembro";"
Estados Unidos";"
531";"
Matérias corantes sintéticas e lacas corantes e suas preparações ";"2120802"
"
2024";"12. Dezembro";"
Estados Unidos";"
532";"
Extratos para tingimento e curtimento e materiais sintéticos de bronzeamento";"484184"
"
2024";"12. Dezembro";"
Estados Unidos";"
533";"
Pigmentos, tintas, vernizes e materiais relacionados";"11405837"
"
2024";"12. Dezembro";"
Estados Unidos";"
541";"
Medicamentos e produtos farmacêuticos, exceto veterinários";"83938922"
"
2024";"12. Dezembro";"
Estados Unidos";"
542";"
Outros medicamentos, incluindo veterinários";"40476726"
"
2024";"12. Dezembro";"
Estados Unidos";"
551";"
Óleos essenciais, matérias de perfume e sabor ";"12140605"
"
2024";"12. Dezembro";"
Estados Unidos";"
553";"
Produtos de perfumaria ou de toucador, exceto sabonetes";"6256558"
"
2024";"12. Dezembro";"
Estados Unidos";"
554";"
Sabão, preparações de limpeza e de polimento";"14302988"
"
2024";"12. Dezembro";"
Estados Unidos";"
562";"
Adubos ou fertilizantes químicos (exceto fertilizantes brutos)";"37559508"
"
2024";"12. Dezembro";"
Estados Unidos";"
571";"
Polímeros de etileno, em formas primárias";"117439681"
"
2024";"12. Dezembro";"
Estados Unidos";"
572";"
Polímeros de estireno, em formas primárias";"2190979"
"
2024";"12. Dezembro";"
Estados Unidos";"
573";"
Polímeros de cloreto de vinila ou de outras olefinas halogenadas, em formas primárias";"16294540"
"
2024";"12. Dezembro";"
Estados Unidos";"
574";"
Poliacetais, outros poliéteres e resinas epóxidas; policarbonatos, resinas alquídicas e outros poliésteres; em formas primárias";"17957440"
"
2024";"12. Dezembro";"
Estados Unidos";"
575";"
Outras matérias plásticas em formas primárias";"37421922"
"
2024";"12. Dezembro";"
Estados Unidos";"
579";"
Desperdícios, resíduos e aparas de plásticos";"17746"
"
2024";"12. Dezembro";"
Estados Unidos";"
581";"
Tubos, canos e mangueiras, e seus acessórios, de matérias plásticas";"3819875"
"
2024";"12. Dezembro";"
Estados Unidos";"
582";"
Chapas, folhas, películas, tiras e lâminas, de plásticos";"15827318"
"
2024";"12. Dezembro";"
Estados Unidos";"
583";"
Monofilamentos (corte superior a 1 mm), varas, bastões e perfis, mesmo trabalhados à superfície, mas sem qualquer outro trabalho, de plásticos";"300299"
"
2024";"12. Dezembro";"
Estados Unidos";"
591";"
Inseticidas, rodenticidas, fungicidas, herbicidas, reguladores de crescimento para plantas, desinfetantes e semelhantes";"95733694"
"
2024";"12. Dezembro";"
Estados Unidos";"
592";"
Amidos, inulina e glúten de trigo, matérias albuminóides, colas";"8051818"
"
2024";"12. Dezembro";"
Estados Unidos";"
593";"
Explosivos e produtos pirotécnicos";"2191898"
"
2024";"12. Dezembro";"
Estados Unidos";"
597";"
Preparações lubrificantes, aditivos para óleos minerais e similares, líquidos de transmissões hidráulicas, preparações anticongelantes";"15696664"
"
2024";"12. Dezembro";"
Estados Unidos";"
598";"
Outros produtos diversos das indústrias químicas";"28341836"
"
2024";"12. Dezembro";"
Estados Unidos";"
611";"
Couro";"1333339"
"
2024";"12. Dezembro";"
Estados Unidos";"
612";"
Selas e arreios";"18397"
"
2024";"12. Dezembro";"
Estados Unidos";"
621";"
Materiais de borracha (pastas, chapas, folhas, hastes, fios, tubos de borracha e outros)";"6685872"
"
2024";"12. Dezembro";"
Estados Unidos";"
625";"
Pneus de borracha, bandas de rodagem intercambiáveis, flaps e câmaras de ar para rodas ";"12120889"
"
2024";"12. Dezembro";"
Estados Unidos";"
629";"
Outros artigos de borracha";"11428989"
"
2024";"12. Dezembro";"
Estados Unidos";"
633";"
Manufaturas de cortiça ";"10829"
"
2024";"12. Dezembro";"
Estados Unidos";"
634";"
Folheados, contraplacados, aglomerados, e outras madeiras, trabalhados";"299700"
"
2024";"12. Dezembro";"
Estados Unidos";"
635";"
Manufaturas de madeira";"33258"
"
2024";"12. Dezembro";"
Estados Unidos";"
641";"
Papel e cartão";"2490426"
"
2024";"12. Dezembro";"
Estados Unidos";"
642";"
Papel e cartão, cortados em forma, e artigos de papel ou cartão";"1536052"
"
2024";"12. Dezembro";"
Estados Unidos";"
651";"
Fios têxteis";"1918963"
"
2024";"12. Dezembro";"
Estados Unidos";"
652";"
Tecidos de algodão, telas (não incluindo as fitas ou especiais)";"456849"
"
2024";"12. Dezembro";"
Estados Unidos";"
653";"
Tecidos, tramas, de matérias têxteis sintéticas ou artificiais (não incluídas as fitas ou especiais)";"1279078"
"
2024";"12. Dezembro";"
Estados Unidos";"
654";"
Outras obras têxteis";"113964"
"
2024";"12. Dezembro";"
Estados Unidos";"
655";"
Tecidos de malha (incluindo tecidos tubulares de malha, veludos e tecidos abertos)";"245075"
"
2024";"12. Dezembro";"
Estados Unidos";"
656";"
Tules, rendas, bordados, fitas, guarnições e armarinhos";"133265"
"
2024";"12. Dezembro";"
Estados Unidos";"
657";"
Fios especiais, tecidos especiais e produtos relacionados";"5012625"
"
2024";"12. Dezembro";"
Estados Unidos";"
658";"
Artigos confeccionados, total ou principalmente de matérias têxteis";"709167"
"
2024";"12. Dezembro";"
Estados Unidos";"
659";"
Revestimentos de piso";"209914"
"
2024";"12. Dezembro";"
Estados Unidos";"
661";"
Cal, cimento e materiais de construção fabricada (exceto materiais de vidro e barro)";"218446"
"
2024";"12. Dezembro";"
Estados Unidos";"
662";"
Materiais de construção de argila e materiais de construção refratários";"459175"
"
2024";"12. Dezembro";"
Estados Unidos";"
663";"
Outros artigos de materiais minerais";"6777057"
"
2024";"12. Dezembro";"
Estados Unidos";"
664";"
Vidro";"2768278"
"
2024";"12. Dezembro";"
Estados Unidos";"
665";"
Vidraria";"481620"
"
2024";"12. Dezembro";"
Estados Unidos";"
666";"
Olaria";"7262"
"
2024";"12. Dezembro";"
Estados Unidos";"
667";"
Pérolas e pedras preciosas ou semipreciosas, em bruto ou trabalhadas";"928276"
"
2024";"12. Dezembro";"
Estados Unidos";"
671";"
Ferro-gusa, spiegel, ferro-esponja, grânulos e pó de ferro ou aço e ferro-ligas";"115609"
"
2024";"12. Dezembro";"
Estados Unidos";"
672";"
Produtos semi-acabados, lingotes e outras formas primárias de ferro ou aço";"28249"
"
2024";"12. Dezembro";"
Estados Unidos";"
673";"
Produtos laminados planos de ferro ou aço não ligado, não folheados ou chapeados, ou revestidos";"32327"
"
2024";"12. Dezembro";"
Estados Unidos";"
674";"
Produtos laminados planos de ferro ou aço não ligado, folheados ou chapeados, ou revestidos";"143519"
"
2024";"12. Dezembro";"
Estados Unidos";"
675";"
Produtos laminados planos, de ligas de aço";"4528232"
"
2024";"12. Dezembro";"
Estados Unidos";"
676";"
Barras de ferro e aço, barras, cantoneiras e perfis (incluindo estacas-prancha)";"1498340"
"
2024";"12. Dezembro";"
Estados Unidos";"
677";"
Trilhos ou elementos de vias férreas, de ferro ou aço";"10297"
"
2024";"12. Dezembro";"
Estados Unidos";"
678";"
Fios de ferro ou aço";"2185470"
"
2024";"12. Dezembro";"
Estados Unidos";"
679";"
Tubos e perfis ocos, e acessórios para tubos, de ferro ou aço";"10489454"
"
2024";"12. Dezembro";"
Estados Unidos";"
681";"
Prata, platina e outros metais do grupo da platina";"1782187"
"
2024";"12. Dezembro";"
Estados Unidos";"
682";"
Cobre";"2091992"
"
2024";"12. Dezembro";"
Estados Unidos";"
683";"
Níquel";"1221867"
"
2024";"12. Dezembro";"
Estados Unidos";"
684";"
Alumínio";"6574807"
"
2024";"12. Dezembro";"
Estados Unidos";"
685";"
Chumbo";"20815"
"
2024";"12. Dezembro";"
Estados Unidos";"
686";"
Zinco";"651"
"
2024";"12. Dezembro";"
Estados Unidos";"
687";"
Estanho";"32990"
"
2024";"12. Dezembro";"
Estados Unidos";"
689";"
Metais não-ferrosos diversos empregados na metalurgia e cermets";"262835"
"
2024";"12. Dezembro";"
Estados Unidos";"
691";"
Estruturas e partes de estruturas, de ferro, aço ou alumínio";"1777097"
"
2024";"12. Dezembro";"
Estados Unidos";"
692";"
Recipientes de metal para armazenamento ou transporte";"1661869"
"
2024";"12. Dezembro";"
Estados Unidos";"
693";"
Produtos de fiação (excluindo fiação elétrica isolados) e grelhas de esgrima";"986479"
"
2024";"12. Dezembro";"
Estados Unidos";"
694";"
Pregos, parafusos, porcas, parafusos, rebites e semelhantes, de ferro, aço, cobre ou alumínio";"13865006"
"
2024";"12. Dezembro";"
Estados Unidos";"
695";"
Ferramentas para uso manual ou em máquinas";"4233480"
"
2024";"12. Dezembro";"
Estados Unidos";"
696";"
Talheres";"1524759"
"
2024";"12. Dezembro";"
Estados Unidos";"
697";"
Equipamentos domésticos de metais comuns";"185038"
"
2024";"12. Dezembro";"
Estados Unidos";"
699";"
Obras de ferro ou aço e outros artigos de metais comuns";"24748725"
"
2024";"12. Dezembro";"
Estados Unidos";"
711";"
Caldeiras de geradores de vapor, caldeiras de água sobreaquecida, aparelhos auxiliares e suas partes";"106661"
"
2024";"12. Dezembro";"
Estados Unidos";"
712";"
Turbinas a vapor e outras turbinas a vapor e suas partes";"243591"
"
2024";"12. Dezembro";"
Estados Unidos";"
713";"
Motores de pistão, e suas partes";"38882400"
"
2024";"12. Dezembro";"
Estados Unidos";"
714";"
Motores e máquinas não elétricos, e suas partes (exceto motores de pistão e geradores) ";"582662026"
"
2024";"12. Dezembro";"
Estados Unidos";"
716";"
Geradores elétricos giratórios e suas partes";"19346406"
"
2024";"12. Dezembro";"
Estados Unidos";"
718";"
Máquinas de geração de energia e suas partes";"12744055"
"
2024";"12. Dezembro";"
Estados Unidos";"
721";"
Máquinas agrícolas (com exceção dos tractores) e suas partes";"12865508"
"
2024";"12. Dezembro";"
Estados Unidos";"
722";"
Tratores";"958546"
"
2024";"12. Dezembro";"
Estados Unidos";"
723";"
Instalações e equipamentos de engenharia civil e contrutores, e suas partes";"23478593"
"
2024";"12. Dezembro";"
Estados Unidos";"
724";"
Máquinas têxteis e para couro e suas partes";"614428"
"
2024";"12. Dezembro";"
Estados Unidos";"
725";"
Maquinaria de papel e celulose, máquinas de corte de papel e fabricação de artigos de papel, e suas partes";"737320"
"
2024";"12. Dezembro";"
Estados Unidos";"
726";"
Máquinas de impressão e encadernação e suas partes";"1023418"
"
2024";"12. Dezembro";"
Estados Unidos";"
727";"
Máquinas de processamento de alimentos (excluindo domésticas), e suas partes";"1691443"
"
2024";"12. Dezembro";"
Estados Unidos";"
728";"
Outras máquinas e equipamentos especializados para determinadas indústrias e suas partes";"19646131"
"
2024";"12. Dezembro";"
Estados Unidos";"
731";"
Maquinas que trabalham por eliminação de metal ou outro material";"15761444"
"
2024";"12. Dezembro";"
Estados Unidos";"
733";"
Máquinas-ferramentas para trabalhar metais, carbonetos metálicos sinterizados ou ceramais, sem eliminação de matéria";"45826"
"
2024";"12. Dezembro";"
Estados Unidos";"
735";"
Peças e acessórios destinados a máquinas e porta-ferramentas";"1584039"
"
2024";"12. Dezembro";"
Estados Unidos";"
737";"
Máquinas para metalurgia (exceto máquinas-ferramentas) e suas partes";"1939762"
"
2024";"12. Dezembro";"
Estados Unidos";"
741";"
Aquecimento e resfriamento de equipamentos e suas partes";"12202077"
"
2024";"12. Dezembro";"
Estados Unidos";"
742";"
Bombas para líquidos, elevadores de líquidos e suas partes";"23205363"
"
2024";"12. Dezembro";"
Estados Unidos";"
743";"
Bombas, centrífugas, compressores de ar, ventiladores, exaustores, aparelhos de filtrar ou depurar e suas partes";"28833111"
"
2024";"12. Dezembro";"
Estados Unidos";"
744";"
Equipamento mecânico para manuseio, elevação, guinchos e suas partes";"6866111"
"
2024";"12. Dezembro";"
Estados Unidos";"
745";"
Máquinas não elétricas, ferramentas e aparelhos mecânicos, e suas partes, n.e.p.";"12056422"
"
2024";"12. Dezembro";"
Estados Unidos";"
746";"
Rolamentos de esferas ou de roletes ";"9429623"
"
2024";"12. Dezembro";"
Estados Unidos";"
747";"
Torneiras, válvulas e dispositivos semelhantes para canalizações, caldeiras, reservatórios, cubas e outros recipientes";"34570541"
"
2024";"12. Dezembro";"
Estados Unidos";"
748";"
Veios de transmissão e manivelas, engrenagens, rodas de fricção, volantes, polias, embreagens, elos articulados e suas partes";"27828021"
"
2024";"12. Dezembro";"
Estados Unidos";"
749";"
Partes não elétricas e acessórios de máquinas";"3491738"
"
2024";"12. Dezembro";"
Estados Unidos";"
751";"
Máquinas para escritórios";"2931796"
"
2024";"12. Dezembro";"
Estados Unidos";"
752";"
Máquinas de processamento automático de dados e suas unidades, para registrar dados, leitores magnéticos ou óticos";"21659791"
"
2024";"12. Dezembro";"
Estados Unidos";"
759";"
Peças e acessórios (exceto estojos, capas e semelhantes) para a máquinas de processamento de dados ou máquinas de escritórios";"1393738"
"
2024";"12. Dezembro";"
Estados Unidos";"
761";"
Monitores e projetores, aparelhos receptores de televisão, aparelhos de som para gravação ou reprodução";"757697"
"
2024";"12. Dezembro";"
Estados Unidos";"
762";"
Aparelhos receptores de radiodifusão, mesmo combinados com aparelhos de reprodução ou gravação de som ou um relógio";"395502"
"
2024";"12. Dezembro";"
Estados Unidos";"
763";"
Aparelhos de gravação de som ou de reprodução, gravação de vídeo ou de reprodução, mesmo incorporando um receptor de sinais de vídeo";"673994"
"
2024";"12. Dezembro";"
Estados Unidos";"
764";"
Equipamentos de telecomunicações, incluindo peças e acessórios";"44874817"
"
2024";"12. Dezembro";"
Estados Unidos";"
771";"
Máquinas de energia elétrica (exceto planta elétrica rotativa do grupo 716) e suas partes";"8287195"
"
2024";"12. Dezembro";"
Estados Unidos";"
772";"
Aparelhos elétricos para ligação, proteção ou conexão de circuitos";"24085069"
"
2024";"12. Dezembro";"
Estados Unidos";"
773";"
Equipamento para distribuição de energia elétrica";"11243987"
"
2024";"12. Dezembro";"
Estados Unidos";"
774";"
Aparelho eletrodiagnósticos para usos medicinais, cirúrgicos, dentários ou veterinários, e aparelho radiológico";"16043078"
"
2024";"12. Dezembro";"
Estados Unidos";"
775";"
Equipamentos elétricos e não elétricos de uso doméstico";"1802256"
